,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,2960,45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,15725,40,Diesel
2,Hyundai Grand i10,Hyundai,2014,12025,28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,21275,36000,Diesel
4,Ford Figo,Ford,2012,6475,41000,Diesel
5,Hyundai Eon,Hyundai,2013,7030,25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,30710,24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,9250,60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,6734,60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,11655,30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,15355,32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,11840,48660,Diesel
12,Hyundai Santro Xing,Hyundai,2007,2960,45000,Petrol
13,Mahindra Jeep CL550,Mahindra,2006,15725,40,Diesel
14,Audi A8,Audi,2017,37000,4000,Petrol
15,Audi Q7,Audi,2014,18500,16934,Diesel
16,Mahindra Scorpio S10,Mahindra,2016,12950,43000,Diesel
17,Maruti Suzuki Alto,Maruti,2014,5920,35550,Petrol
18,Mahindra Scorpio S10,Mahindra,2016,12950,43000,Diesel
19,Mahindra Scorpio S10,Mahindra,2016,11470,39522,Diesel
20,Maruti Suzuki Alto,Maruti,2015,2775,39000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,3700,55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,3700,55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,3700,55000,Petrol
24,Maruti Suzuki Alto,Maruti,2017,7030,72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,10730,15975,Diesel
26,Maruti Suzuki Alto,Maruti,2008,3515,70000,Petrol
27,Mahindra Bolero DI,Mahindra,2017,6660,23452,Diesel
28,Maruti Suzuki Swift,Maruti,2014,14245,35522,Diesel
29,Mahindra Scorpio S10,Mahindra,2015,9250,48508,Diesel
30,Maruti Suzuki Swift,Maruti,2017,6660,15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,3885,39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,3885,39000,Petrol
33,Toyota Innova 2.0,Toyota,2012,24050,82000,Diesel
34,Renault Lodgy 85,Renault,2018,25529,20000,Diesel
35,Skoda Yeti Ambition,Skoda,2012,16576,68000,Diesel
36,Maruti Suzuki Baleno,Maruti,2017,20313,32000,Diesel
37,Renault Duster 110,Renault,2012,18537,38000,Diesel
38,Renault Duster 85,Renault,2013,18129,27000,Diesel
39,Honda City 1.5,Honda,2011,10360,33000,Petrol
40,Maruti Suzuki Alto,Maruti,2015,9250,60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,12949,46000,Diesel
42,Honda Amaze,Honda,2013,10544,46000,Diesel
43,Honda Amaze 1.5,Honda,2015,12765,36000,Diesel
44,Honda City,Honda,2015,18499,55000,Petrol
45,Datsun Redi GO,Datsun,2017,8695,16000,Petrol
46,Maruti Suzuki SX4,Maruti,2010,9249,36000,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,54575,47000,Diesel
48,Mahindra Bolero DI,Mahindra,2017,6660,23452,Diesel
49,Maruti Suzuki Swift,Maruti,2014,14245,35522,Diesel
50,Mahindra Scorpio S10,Mahindra,2015,9250,48508,Diesel
51,Maruti Suzuki Swift,Maruti,2017,6660,15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,3885,39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,3885,39000,Petrol
54,Mahindra Scorpio S10,Mahindra,2015,14615,35000,Diesel
55,Maruti Suzuki Swift,Maruti,2017,8140,30874,Petrol
56,Honda City ZX,Honda,2017,6290,15000,Diesel
57,Maruti Suzuki Wagon,Maruti,2013,3145,29685,Petrol
58,Ford Figo,Ford,2012,6475,41000,Diesel
59,Hyundai Eon,Hyundai,2013,7030,25000,Petrol
60,Tata Indigo eCS,Tata,2017,7400,130000,Diesel
61,Ford EcoSport Ambiente,Ford,2016,30710,24530,Diesel
62,Tata Indigo eCS,Tata,2017,7400,130000,Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,21090,19000,Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,11655,60000,Petrol
65,Skoda Fabia Classic,Skoda,2010,6734,60000,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,11655,30000,Petrol
67,Chevrolet Spark LS,Chevrolet,2010,4070,41000,Petrol
68,Renault Duster 110PS,Renault,2012,18537,35000,Diesel
69,Honda City,Honda,2015,16612,54000,Petrol
70,Mini Cooper S,Mini,2013,69971,13000,Petrol
71,Datsun Redi GO,Datsun,2017,8695,16000,Petrol
72,Skoda Fabia 1.2L,Skoda,2011,5901,38200,Diesel
73,Honda Amaze,Honda,2015,12764,22000,Petrol
74,Honda Amaze,Honda,2015,12764,22000,Petrol
75,Renault Duster,Renault,2014,16649,50000,Diesel
76,Mini Cooper S,Mini,2013,69971,13500,Petrol
77,Mahindra Scorpio S4,Mahindra,2015,32005,30000,Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,25863,50000,Diesel
79,Mahindra Quanto C8,Mahindra,2013,13875,20000,Diesel
80,Ford EcoSport,Ford,2017,18129,39000,Petrol
81,Honda Brio,Honda,2012,8324,30000,Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,44400,3600,Diesel
83,Hyundai i20 Magna,Hyundai,2009,7215,32000,Petrol
84,Toyota Corolla Altis,Toyota,2010,12987,38000,Diesel
85,Hyundai Verna Transform,Hyundai,2008,5920,45000,Petrol
86,Toyota Corolla Altis,Toyota,2009,8880,35000,Petrol
87,Honda City 1.5,Honda,2005,3330,50000,Petrol
88,Hyundai Elite i20,Hyundai,2014,15355,32000,Petrol
89,Skoda Fabia 1.2L,Skoda,2011,5735,45863,Diesel
90,BMW 3 Series,BMW,2011,22200,60500,Petrol
91,Maruti Suzuki A,Maruti,2011,7011,12500,Petrol
92,Toyota Etios GD,Toyota,2013,12950,60000,Diesel
93,Ford Figo Diesel,Ford,2012,7770,35000,Diesel
94,Maruti Suzuki Swift,Maruti,2014,14430,35000,Petrol
95,Chevrolet Beat LT,Chevrolet,2012,4995,45000,Diesel
96,BMW 7 Series,BMW,2009,59200,35000,Petrol
97,Mahindra XUV500 W8,Mahindra,2013,25937,38000,Diesel
98,Hyundai i10 Magna,Hyundai,2014,9805,18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,19425,35000,Diesel
100,Maruti Suzuki Swift,Maruti,2013,13764,13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,23495,29000,Petrol
102,Ford EcoSport Titanium,Ford,2014,20350,44000,Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,21275,29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,17945,42000,Diesel
105,Maruti Suzuki Alto,Maruti,2012,5735,14000,Petrol
106,Hyundai Grand i10,Hyundai,2014,12765,49000,Diesel
107,Honda Amaze 1.2,Honda,2014,12025,42000,Petrol
108,Hyundai i20 Asta,Hyundai,2012,12191,36200,Diesel
109,Ford Figo Diesel,Ford,2014,7215,50000,Diesel
110,Maruti Suzuki Eeco,Maruti,2015,9291,55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,21089,45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,2589,51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,11099,19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,8140,46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,14799,33000,Diesel
116,Maruti Suzuki Swift,Maruti,2013,13764,13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,16650,104000,Diesel
118,Toyota Etios Liva,Toyota,2014,9990,55000,Petrol
119,Hyundai i20 Sportz,Hyundai,2011,12950,33333,Diesel
120,Chevrolet Spark,Chevrolet,2012,5860,33600,Petrol
121,Maruti Suzuki Alto,Maruti,2017,12950,5600,Petrol
122,Nissan Micra XV,Nissan,2011,6623,41000,Petrol
123,Maruti Suzuki Swift,Maruti,2007,4625,70000,Petrol
124,Maruti Suzuki Alto,Maruti,2018,7400,7500,Petrol
125,Honda Amaze 1.5,Honda,2013,11063,45000,Diesel
126,Maruti Suzuki Alto,Maruti,2015,8140,38000,Petrol
127,Chevrolet Beat,Chevrolet,2015,5550,30000,Petrol
128,Honda City 1.5,Honda,2010,10545,35000,Petrol
